Emission lines,100,125,150,175,200,225,250,275,300,325,350,375,400,425,450,475,500,525,550,575,600,625,650,675,700,725,750,775,800,825,850,875,900,925,950,975,1000
C III λ977,8.748,5.476,4.084,3.452,2.772,2.221,1.868,1.64,1.469,1.334,1.22,1.125,1.037,0.959,0.887,0.822,0.764,0.712,0.665,0.622,0.582,0.546,0.513,0.482,0.453,0.427,0.403,0.38,0.36,0.34,0.323,0.306,0.291,0.277,0.264,0.251,0.24
N III λ990,0.782,1.182,0.657,0.554,0.442,0.352,0.295,0.257,0.23,0.207,0.189,0.173,0.158,0.145,0.134,0.123,0.114,0.105,0.097,0.091,0.084,0.079,0.073,0.068,0.064,0.06,0.056,0.053,0.049,0.046,0.044,0.041,0.039,0.037,0.035,0.033,0.031
"O VI λλ1032, 1037",0.0,0.136,5.602,20.001,17.989,16.054,15.315,14.931,14.485,14.263,13.791,13.439,12.757,12.118,11.33,10.647,9.99,9.332,8.757,8.242,7.757,7.313,6.894,6.508,6.156,5.829,5.529,5.247,4.987,4.744,4.52,4.31,4.116,3.935,3.767,3.61,3.463
Lyα λ1215,54.763,37.237,32.853,33.075,33.585,33.414,33.651,34.541,35.658,36.968,38.354,39.724,40.921,42.037,43.008,43.85,44.62,45.26,45.9,46.43,46.948,47.49,47.97,48.49,48.996,49.531,49.943,50.482,50.95,51.483,51.9,52.306,52.782,53.252,53.65,54.086,54.424
N V λ1239,0.02,0.738,1.286,0.989,0.823,0.694,0.629,0.6,0.581,0.556,0.52,0.485,0.453,0.419,0.389,0.363,0.338,0.316,0.296,0.279,0.262,0.247,0.233,0.22,0.208,0.197,0.187,0.177,0.169,0.16,0.153,0.146,0.139,0.133,0.127,0.122,0.117
SiIV + O IV λ1400,0.614,2.104,2.119,1.634,1.3,1.042,0.88,0.778,0.703,0.644,0.595,0.554,0.516,0.482,0.45,0.421,0.394,0.37,0.348,0.328,0.309,0.292,0.275,0.26,0.246,0.233,0.221,0.21,0.2,0.19,0.181,0.173,0.165,0.158,0.151,0.145,0.139
N IV λ1486,0.085,0.316,0.157,0.13,0.104,0.083,0.07,0.062,0.056,0.051,0.047,0.044,0.041,0.038,0.036,0.033,0.031,0.029,0.027,0.026,0.024,0.023,0.022,0.02,0.019,0.018,0.017,0.016,0.016,0.015,0.014,0.013,0.013,0.012,0.012,0.011,0.011
C IV λλ1548+1551,2.763,3.536,2.071,1.788,1.447,1.181,1.027,0.927,0.845,0.774,0.712,0.658,0.61,0.567,0.527,0.491,0.458,0.428,0.401,0.376,0.354,0.333,0.314,0.296,0.279,0.264,0.25,0.236,0.224,0.213,0.202,0.193,0.183,0.175,0.167,0.16,0.153
He II λ1640,0.587,0.606,0.45,0.409,0.372,0.343,0.354,0.391,0.435,0.485,0.533,0.585,0.634,0.679,0.714,0.741,0.763,0.782,0.796,0.806,0.811,0.814,0.815,0.815,0.814,0.813,0.812,0.811,0.81,0.809,0.809,0.808,0.807,0.806,0.805,0.804,0.803
O III] λλ1661+1666,1.17,1.604,1.245,0.993,0.796,0.64,0.544,0.483,0.438,0.403,0.373,0.347,0.324,0.302,0.281,0.263,0.245,0.229,0.215,0.202,0.19,0.179,0.168,0.159,0.15,0.142,0.134,0.127,0.12,0.114,0.109,0.104,0.099,0.094,0.09,0.086,0.083
N III λ1750,0.288,0.357,0.214,0.181,0.147,0.118,0.1,0.088,0.08,0.073,0.067,0.062,0.058,0.054,0.05,0.047,0.043,0.041,0.038,0.036,0.034,0.032,0.03,0.028,0.027,0.025,0.024,0.023,0.022,0.021,0.02,0.019,0.018,0.017,0.016,0.016,0.015
C III] λ1909,2.817,1.76,1.339,1.14,0.941,0.772,0.66,0.59,0.537,0.497,0.465,0.439,0.415,0.395,0.376,0.359,0.344,0.33,0.317,0.305,0.294,0.284,0.275,0.267,0.259,0.252,0.245,0.24,0.234,0.23,0.225,0.221,0.218,0.215,0.212,0.209,0.207
C II] λ2326,0.54,0.383,0.323,0.31,0.293,0.272,0.264,0.268,0.275,0.285,0.295,0.304,0.311,0.317,0.322,0.326,0.33,0.333,0.338,0.341,0.344,0.349,0.352,0.357,0.361,0.365,0.369,0.373,0.377,0.381,0.385,0.388,0.391,0.395,0.398,0.401,0.404
Mg II λ2800,0.164,0.261,0.354,0.457,0.545,0.569,0.584,0.605,0.623,0.639,0.653,0.665,0.672,0.677,0.68,0.679,0.678,0.675,0.673,0.67,0.667,0.667,0.665,0.665,0.665,0.666,0.666,0.668,0.67,0.673,0.675,0.677,0.68,0.684,0.687,0.691,0.693
