Emission lines,100,125,150,175,200,225,250,275,300,325,350,375,400,425,450,475,500,525,550,575,600,625,650,675,700,725,750,775,800,825,850,875,900,925,950,975,1000
C III λ977,7.443,4.77,3.452,2.871,2.25,1.751,1.425,1.221,1.078,0.969,0.879,0.802,0.733,0.67,0.613,0.563,0.52,0.482,0.449,0.419,0.393,0.37,0.348,0.329,0.311,0.295,0.28,0.266,0.253,0.241,0.23,0.22,0.21,0.202,0.193,0.186,0.178
N III λ990,0.649,1.095,0.599,0.49,0.383,0.297,0.241,0.207,0.182,0.164,0.148,0.135,0.123,0.112,0.102,0.093,0.086,0.079,0.073,0.068,0.064,0.06,0.056,0.053,0.05,0.047,0.044,0.042,0.04,0.037,0.036,0.034,0.032,0.031,0.029,0.028,0.027
"O VI λλ1032, 1037",0.0,0.114,5.197,21.258,19.161,16.814,15.708,15.112,14.558,14.298,13.782,13.352,12.559,11.796,10.887,10.108,9.381,8.676,8.07,7.54,7.06,6.621,6.219,5.853,5.52,5.216,4.937,4.675,4.433,4.206,3.998,3.803,3.622,3.455,3.296,3.149,3.011
Lyα λ1215,53.562,36.404,30.16,30.584,31.572,31.524,31.813,32.897,34.352,36.161,38.005,40.034,41.819,43.404,44.825,46.164,47.389,48.707,49.938,51.157,52.413,53.619,55.013,56.313,57.497,58.768,59.869,61.115,62.326,63.528,64.628,65.646,66.597,67.499,68.469,69.307,70.086
N V λ1239,0.012,0.674,1.409,1.031,0.851,0.702,0.625,0.586,0.564,0.538,0.499,0.462,0.426,0.389,0.356,0.327,0.301,0.278,0.259,0.241,0.226,0.211,0.199,0.187,0.177,0.167,0.158,0.15,0.142,0.135,0.128,0.122,0.117,0.111,0.106,0.102,0.097
SiIV + O IV λ1400,0.528,2.013,2.138,1.631,1.268,0.989,0.809,0.699,0.624,0.568,0.522,0.483,0.447,0.414,0.383,0.356,0.331,0.31,0.291,0.274,0.258,0.244,0.231,0.219,0.209,0.199,0.19,0.181,0.173,0.166,0.159,0.152,0.146,0.141,0.136,0.131,0.126
N IV λ1486,0.071,0.304,0.16,0.125,0.097,0.075,0.061,0.053,0.047,0.043,0.039,0.036,0.033,0.031,0.029,0.027,0.025,0.023,0.022,0.021,0.019,0.018,0.017,0.017,0.016,0.015,0.014,0.014,0.013,0.013,0.012,0.012,0.011,0.011,0.01,0.01,0.01
C IV λλ1548+1551,2.302,3.661,2.038,1.737,1.381,1.099,0.931,0.825,0.745,0.677,0.619,0.567,0.522,0.48,0.442,0.409,0.379,0.353,0.33,0.309,0.29,0.273,0.258,0.244,0.232,0.22,0.209,0.199,0.19,0.182,0.174,0.167,0.16,0.154,0.149,0.143,0.139
He II λ1640,0.498,0.675,0.517,0.501,0.49,0.477,0.52,0.609,0.714,0.822,0.923,1.02,1.107,1.178,1.228,1.266,1.296,1.321,1.341,1.356,1.365,1.371,1.375,1.379,1.382,1.384,1.387,1.388,1.39,1.391,1.391,1.392,1.391,1.391,1.389,1.388,1.385
O III] λλ1661+1666,1.006,1.494,1.183,0.924,0.726,0.571,0.474,0.416,0.376,0.346,0.321,0.299,0.278,0.259,0.24,0.224,0.21,0.197,0.185,0.175,0.167,0.159,0.152,0.145,0.14,0.134,0.13,0.126,0.122,0.118,0.115,0.113,0.11,0.108,0.106,0.104,0.102
N III λ1750,0.24,0.327,0.192,0.159,0.127,0.1,0.083,0.073,0.066,0.061,0.056,0.052,0.049,0.046,0.043,0.041,0.039,0.037,0.035,0.034,0.033,0.032,0.031,0.03,0.03,0.029,0.029,0.028,0.028,0.028,0.027,0.027,0.027,0.027,0.027,0.027,0.026
C III] λ1909,2.392,1.509,1.143,0.989,0.867,0.753,0.67,0.627,0.604,0.592,0.587,0.586,0.585,0.585,0.585,0.587,0.588,0.59,0.591,0.593,0.595,0.598,0.601,0.604,0.608,0.613,0.618,0.623,0.628,0.633,0.638,0.643,0.648,0.654,0.659,0.663,0.668
C II] λ2326,0.46,0.343,0.315,0.308,0.292,0.27,0.262,0.265,0.274,0.287,0.3,0.313,0.325,0.334,0.343,0.351,0.359,0.368,0.377,0.386,0.395,0.404,0.414,0.424,0.432,0.44,0.447,0.455,0.462,0.469,0.475,0.48,0.484,0.489,0.493,0.497,0.5
