Emission lines,100,125,150,175,200,225,250,275,300,325,350,375,400,425,450,475,500,525,550,575,600,625,650,675,700,725,750,775,800,825,850,875,900,925,950,975,1000
C III λ977,13.555,8.961,6.777,5.785,4.882,4.156,3.626,3.204,2.845,2.535,2.269,2.044,1.847,1.677,1.532,1.41,1.305,1.216,1.141,1.075,1.018,0.968,0.923,0.881,0.843,0.807,0.772,0.739,0.707,0.677,0.647,0.618,0.589,0.562,0.535,0.51,0.486
N III λ990,0.311,0.493,0.286,0.246,0.207,0.176,0.153,0.135,0.119,0.105,0.094,0.084,0.075,0.068,0.061,0.056,0.052,0.048,0.044,0.042,0.039,0.037,0.035,0.033,0.032,0.03,0.028,0.027,0.026,0.024,0.023,0.022,0.021,0.02,0.019,0.018,0.017
"O VI λλ1032, 1037",0.0,0.161,5.693,20.465,19.253,17.037,15.284,13.614,12.322,11.232,10.278,9.395,8.676,8.021,7.411,6.862,6.407,6.014,5.668,5.366,5.1,4.862,4.65,4.457,4.28,4.114,3.954,3.799,3.65,3.504,3.361,3.222,3.087,2.955,2.829,2.707,2.59
Lyα λ1215,55.191,37.442,31.4,30.735,30.436,30.661,31.567,32.894,34.417,35.958,37.443,38.823,40.036,41.015,41.753,42.293,42.689,42.982,43.2,43.37,43.515,43.636,43.747,43.849,43.962,44.078,44.211,44.371,44.544,44.749,44.996,45.252,45.531,45.828,46.143,46.424,46.707
N V λ1239,0.008,0.366,0.559,0.469,0.408,0.353,0.312,0.281,0.252,0.226,0.206,0.186,0.169,0.154,0.141,0.13,0.121,0.113,0.106,0.1,0.095,0.091,0.087,0.084,0.08,0.077,0.074,0.071,0.068,0.066,0.063,0.061,0.058,0.056,0.053,0.051,0.049
SiIV + O IV λ1400,0.609,2.273,2.237,1.807,1.523,1.304,1.148,1.024,0.92,0.83,0.752,0.685,0.624,0.57,0.522,0.482,0.448,0.419,0.394,0.373,0.354,0.338,0.323,0.309,0.297,0.285,0.274,0.263,0.253,0.243,0.233,0.223,0.214,0.204,0.196,0.187,0.179
N IV λ1486,0.035,0.148,0.075,0.065,0.054,0.047,0.041,0.036,0.033,0.029,0.027,0.024,0.022,0.02,0.018,0.017,0.016,0.015,0.014,0.013,0.012,0.012,0.011,0.011,0.01,0.01,0.01,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.006,0.006
C IV λλ1548+1551,4.369,5.744,3.684,3.226,2.747,2.358,2.075,1.843,1.642,1.467,1.318,1.195,1.084,0.987,0.905,0.835,0.775,0.724,0.68,0.643,0.61,0.581,0.556,0.532,0.51,0.489,0.47,0.451,0.432,0.415,0.397,0.38,0.364,0.348,0.332,0.317,0.303
He II λ1640,0.6,0.589,0.451,0.43,0.455,0.504,0.583,0.681,0.793,0.923,1.06,1.177,1.243,1.263,1.256,1.237,1.214,1.193,1.174,1.157,1.142,1.128,1.116,1.103,1.092,1.081,1.07,1.061,1.053,1.046,1.04,1.036,1.033,1.031,1.031,1.032,1.033
O III] λλ1661+1666,1.026,1.473,1.144,0.948,0.808,0.695,0.614,0.548,0.492,0.442,0.398,0.361,0.329,0.301,0.277,0.257,0.239,0.224,0.211,0.2,0.19,0.181,0.173,0.165,0.159,0.152,0.146,0.14,0.134,0.129,0.123,0.118,0.113,0.108,0.103,0.098,0.093
N III λ1750,0.111,0.143,0.089,0.077,0.066,0.056,0.05,0.044,0.04,0.036,0.032,0.029,0.026,0.024,0.022,0.02,0.019,0.018,0.017,0.016,0.015,0.014,0.014,0.013,0.013,0.012,0.012,0.011,0.011,0.01,0.01,0.01,0.009,0.009,0.008,0.008,0.008
