Emission lines,100,125,150,175,200,225,250,275,300,325,350,375,400,425,450,475,500,525,550,575,600,625,650,675,700,725,750,775,800,825,850,875,900,925,950,975,1000
C III λ977,11.036,7.798,5.824,4.897,4.021,3.307,2.792,2.399,2.088,1.836,1.631,1.46,1.31,1.183,1.073,0.982,0.905,0.84,0.784,0.733,0.689,0.649,0.611,0.577,0.545,0.515,0.488,0.463,0.44,0.418,0.398,0.38,0.363,0.347,0.333,0.319,0.307
N III λ990,0.246,0.463,0.262,0.222,0.182,0.15,0.127,0.109,0.095,0.083,0.073,0.065,0.058,0.052,0.047,0.042,0.039,0.036,0.033,0.031,0.029,0.027,0.025,0.024,0.022,0.021,0.02,0.019,0.018,0.017,0.016,0.015,0.014,0.014,0.013,0.012,0.012
"O VI λλ1032, 1037",0.0,0.137,5.278,21.78,20.515,17.766,15.554,13.63,12.148,10.952,9.918,9.012,8.226,7.526,6.867,6.272,5.779,5.353,4.977,4.634,4.327,4.047,3.787,3.552,3.337,3.138,2.956,2.788,2.633,2.489,2.357,2.237,2.125,2.022,1.927,1.838,1.756
Lyα λ1215,54.557,36.588,28.825,28.524,29.167,30.518,32.526,34.723,36.832,38.735,40.412,41.899,43.141,44.103,44.77,45.287,45.739,46.125,46.463,46.764,47.068,47.244,47.434,47.511,47.734,47.83,47.983,48.1,48.397,48.663,48.888,49.27,49.622,50.083,50.545,50.998,51.511
N V λ1239,0.004,0.339,0.607,0.491,0.423,0.357,0.309,0.269,0.237,0.21,0.19,0.169,0.152,0.137,0.123,0.112,0.103,0.095,0.088,0.082,0.076,0.071,0.067,0.063,0.059,0.056,0.053,0.05,0.047,0.044,0.042,0.04,0.038,0.036,0.035,0.033,0.032
SiIV + O IV λ1400,0.514,2.188,2.254,1.809,1.493,1.243,1.065,0.931,0.825,0.741,0.672,0.612,0.556,0.504,0.459,0.42,0.387,0.359,0.334,0.313,0.294,0.276,0.26,0.245,0.232,0.219,0.208,0.197,0.187,0.178,0.17,0.162,0.155,0.149,0.143,0.138,0.133
N IV λ1486,0.028,0.144,0.075,0.062,0.051,0.042,0.036,0.031,0.028,0.025,0.022,0.02,0.018,0.017,0.015,0.014,0.013,0.012,0.011,0.01,0.01,0.009,0.009,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004
C IV λλ1548+1551,3.432,5.829,3.615,3.141,2.621,2.185,1.867,1.621,1.417,1.252,1.12,1.011,0.913,0.826,0.751,0.688,0.634,0.588,0.549,0.514,0.482,0.454,0.428,0.404,0.381,0.361,0.342,0.324,0.308,0.293,0.28,0.268,0.256,0.246,0.236,0.228,0.219
He II λ1640,0.474,0.647,0.515,0.54,0.655,0.786,0.954,1.14,1.341,1.565,1.795,1.976,2.065,2.079,2.049,2.002,1.953,1.906,1.864,1.821,1.78,1.738,1.696,1.654,1.612,1.573,1.539,1.508,1.48,1.458,1.441,1.428,1.42,1.416,1.415,1.417,1.421
O III] λλ1661+1666,0.846,1.384,1.092,0.893,0.749,0.629,0.543,0.475,0.419,0.372,0.333,0.3,0.272,0.249,0.23,0.215,0.202,0.192,0.183,0.175,0.167,0.16,0.153,0.147,0.141,0.135,0.129,0.124,0.12,0.115,0.111,0.108,0.104,0.101,0.099,0.096,0.094
N III λ1750,0.089,0.133,0.08,0.069,0.058,0.049,0.042,0.037,0.033,0.03,0.027,0.024,0.022,0.021,0.02,0.019,0.018,0.018,0.017,0.017,0.016,0.016,0.015,0.015,0.014,0.014,0.013,0.013,0.013,0.012,0.012,0.012,0.012,0.011,0.011,0.011,0.011
C III] λ1909,3.465,2.351,1.806,1.555,1.362,1.218,1.137,1.094,1.074,1.067,1.069,1.078,1.094,1.114,1.133,1.151,1.166,1.176,1.182,1.182,1.176,1.166,1.152,1.134,1.115,1.094,1.075,1.056,1.039,1.023,1.01,1.0,0.992,0.986,0.983,0.981,0.98
C II] λ2326,0.584,0.394,0.332,0.311,0.316,0.324,0.336,0.344,0.349,0.351,0.35,0.348,0.343,0.338,0.333,0.329,0.328,0.327,0.327,0.328,0.33,0.33,0.331,0.331,0.332,0.331,0.332,0.332,0.333,0.335,0.335,0.338,0.339,0.342,0.345,0.348,0.351
Mg II λ2800,0.166,0.326,0.531,0.761,1.069,1.199,1.229,1.206,1.164,1.127,1.109,1.112,1.125,1.138,1.146,1.152,1.152,1.147,1.137,1.123,1.106,1.086,1.065,1.042,1.022,1.0,0.981,0.965,0.952,0.942,0.932,0.928,0.924,0.925,0.929,0.935,0.942
Ne V λ3426,0.0,0.025,0.104,0.202,0.193,0.159,0.135,0.117,0.102,0.09,0.081,0.072,0.065,0.059,0.053,0.049,0.045,0.042,0.039,0.036,0.034,0.032,0.03,0.029,0.027,0.026,0.025,0.024,0.023,0.022,0.021,0.02,0.019,0.019,0.018,0.017,0.017
Ne III λ3869,0.299,0.379,0.319,0.317,0.369,0.437,0.517,0.59,0.652,0.701,0.743,0.778,0.808,0.83,0.845,0.857,0.865,0.87,0.872,0.871,0.867,0.861,0.852,0.842,0.831,0.82,0.81,0.8,0.792,0.785,0.78,0.776,0.774,0.774,0.774,0.776,0.778
[O II] λλ3727+3729,0.299,0.379,0.319,0.317,0.369,0.437,0.517,0.59,0.652,0.701,0.743,0.778,0.808,0.83,0.845,0.857,0.865,0.87,0.872,0.871,0.867,0.861,0.852,0.842,0.831,0.82,0.81,0.8,0.792,0.785,0.78,0.776,0.774,0.774,0.774,0.776,0.778
[S II] λλ4069+4076,0.034,0.043,0.052,0.064,0.078,0.086,0.092,0.094,0.094,0.093,0.091,0.089,0.085,0.082,0.079,0.076,0.073,0.071,0.068,0.066,0.065,0.063,0.061,0.06,0.058,0.057,0.056,0.055,0.054,0.054,0.053,0.053,0.053,0.053,0.053,0.053,0.053
[O III] λ4363,0.133,0.21,0.166,0.136,0.115,0.098,0.085,0.075,0.067,0.061,0.056,0.052,0.049,0.046,0.045,0.044,0.043,0.042,0.042,0.041,0.041,0.04,0.039,0.038,0.037,0.036,0.036,0.035,0.034,0.033,0.032,0.032,0.031,0.031,0.031,0.031,0.03
He II λ4686,0.045,0.076,0.063,0.069,0.089,0.111,0.138,0.167,0.198,0.232,0.267,0.294,0.307,0.309,0.304,0.297,0.289,0.282,0.276,0.269,0.263,0.257,0.25,0.244,0.238,0.232,0.227,0.222,0.218,0.215,0.212,0.211,0.209,0.209,0.209,0.209,0.209
Hβ λ4861,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[O III] λ5007,1.419,2.018,1.599,1.346,1.181,1.054,0.987,0.955,0.954,0.977,1.017,1.075,1.155,1.254,1.36,1.466,1.563,1.648,1.718,1.768,1.802,1.82,1.823,1.816,1.799,1.778,1.753,1.727,1.702,1.679,1.659,1.642,1.63,1.621,1.616,1.615,1.616
[N I] λ5200,0.02,0.02,0.026,0.026,0.026,0.026,0.039,0.039,0.064,0.064,0.078,0.078,0.087,0.087,0.092,0.092,0.094,0.094,0.095,0.095,0.097,0.097,0.099,0.099,0.101,0.101,0.105,0.105,0.11,0.11,0.117,0.117,0.124,0.124,0.133,0.133,0.142
[O I] λ6300,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.127,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126
Hα λ6563,3.142,3.06,3.021,2.993,2.971,2.964,2.968,2.978,2.99,3.002,3.014,3.025,3.036,3.044,3.051,3.058,3.064,3.072,3.079,3.088,3.097,3.107,3.117,3.126,3.136,3.145,3.153,3.16,3.168,3.175,3.181,3.187,3.193,3.199,3.204,3.209,3.215
[N II] λ6583,0.214,0.31,0.379,0.459,0.579,0.665,0.73,0.777,0.809,0.831,0.845,0.852,0.853,0.848,0.838,0.826,0.813,0.8,0.787,0.774,0.76,0.746,0.732,0.719,0.706,0.693,0.682,0.672,0.664,0.658,0.652,0.648,0.645,0.643,0.642,0.642,0.643
[S II] λλ6716+6731,0.733,1.107,1.335,1.609,1.867,1.962,2.015,2.01,1.966,1.903,1.835,1.762,1.685,1.606,1.531,1.466,1.409,1.36,1.319,1.284,1.255,1.23,1.21,1.195,1.185,1.181,1.183,1.19,1.202,1.218,1.237,1.259,1.283,1.307,1.332,1.357,1.38
