Emission lines,100,125,150,175,200,225,250,275,300,325,350,375,400,425,450,475,500,525,550,575,600,625,650,675,700,725,750,775,800,825,850,875,900,925,950,975,1000
C III λ977,9.806,7.799,6.092,5.05,4.245,3.619,3.158,2.785,2.469,2.195,1.956,1.746,1.566,1.412,1.282,1.172,1.08,1.001,0.934,0.876,0.825,0.78,0.739,0.703,0.669,0.638,0.609,0.582,0.557,0.533,0.51,0.488,0.467,0.447,0.428,0.41,0.392
N III λ990,0.133,0.221,0.152,0.126,0.106,0.09,0.079,0.069,0.061,0.054,0.048,0.043,0.038,0.034,0.031,0.028,0.026,0.024,0.022,0.021,0.019,0.018,0.017,0.016,0.015,0.015,0.014,0.013,0.012,0.012,0.011,0.011,0.01,0.01,0.009,0.009,0.008
"O VI λλ1032, 1037",0.0,0.186,5.777,18.976,19.715,18.074,16.364,14.933,13.494,12.137,11.044,10.068,9.221,8.418,7.736,7.175,6.676,6.233,5.842,5.5,5.207,4.95,4.718,4.505,4.307,4.122,3.948,3.786,3.632,3.486,3.346,3.212,3.084,2.96,2.841,2.726,2.617
Lyα λ1215,57.319,41.092,34.035,34.15,35.757,38.189,41.372,44.758,47.967,50.887,53.387,55.392,56.943,58.091,58.952,59.563,60.046,60.459,60.857,61.214,61.569,61.957,62.277,62.662,63.019,63.453,63.779,64.213,64.656,64.965,65.402,65.848,66.195,66.598,67.027,67.386,67.759
N V λ1239,0.003,0.224,0.285,0.276,0.246,0.218,0.197,0.175,0.159,0.144,0.129,0.117,0.105,0.095,0.087,0.08,0.074,0.069,0.064,0.061,0.057,0.055,0.052,0.049,0.047,0.045,0.043,0.041,0.04,0.038,0.037,0.035,0.034,0.032,0.031,0.03,0.029
SiIV + O IV λ1400,0.894,2.339,2.267,1.89,1.597,1.37,1.207,1.075,0.963,0.865,0.778,0.7,0.632,0.572,0.522,0.479,0.442,0.411,0.384,0.361,0.341,0.323,0.307,0.292,0.279,0.266,0.255,0.244,0.234,0.224,0.215,0.206,0.197,0.189,0.181,0.174,0.167
N IV λ1486,0.013,0.077,0.047,0.039,0.033,0.028,0.025,0.022,0.02,0.018,0.016,0.014,0.013,0.012,0.011,0.01,0.009,0.009,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.003
C IV λλ1548+1551,2.776,4.49,3.382,2.902,2.502,2.172,1.928,1.719,1.537,1.378,1.236,1.11,1.0,0.906,0.826,0.757,0.699,0.65,0.608,0.571,0.539,0.51,0.484,0.461,0.439,0.419,0.401,0.384,0.367,0.352,0.337,0.323,0.309,0.296,0.284,0.272,0.26
He II λ1640,0.601,0.608,0.507,0.508,0.566,0.652,0.771,0.911,1.057,1.201,1.327,1.421,1.473,1.488,1.48,1.46,1.437,1.416,1.397,1.384,1.372,1.361,1.352,1.344,1.336,1.328,1.321,1.316,1.311,1.307,1.304,1.302,1.302,1.302,1.303,1.304,1.305
