Emission lines,100,125,150,175,200,225,250,275,300,325,350,375,400,425,450,475,500,525,550,575,600,625,650,675,700,725,750,775,800,825,850,875,900,925,950,975,1000
C III λ977,8.465,7.131,5.51,4.478,3.729,3.114,2.654,2.3,2.015,1.781,1.582,1.411,1.265,1.14,1.034,0.946,0.872,0.809,0.756,0.71,0.67,0.634,0.601,0.571,0.543,0.517,0.493,0.47,0.448,0.427,0.408,0.389,0.372,0.356,0.34,0.326,0.312
N III λ990,0.113,0.213,0.143,0.117,0.098,0.082,0.07,0.06,0.053,0.046,0.041,0.036,0.032,0.029,0.026,0.024,0.022,0.02,0.019,0.017,0.016,0.015,0.015,0.014,0.013,0.012,0.012,0.011,0.011,0.01,0.009,0.009,0.009,0.008,0.008,0.007,0.007
"O VI λλ1032, 1037",0.0,0.162,5.634,19.4,20.441,18.527,16.463,14.856,13.282,11.828,10.732,9.697,8.837,8.01,7.286,6.702,6.187,5.733,5.333,4.98,4.675,4.406,4.165,3.939,3.731,3.534,3.35,3.176,3.014,2.86,2.716,2.582,2.456,2.338,2.226,2.124,2.027
Lyα λ1215,56.685,40.587,32.763,33.139,35.748,38.869,42.357,45.81,49.051,51.956,54.443,56.444,58.004,59.185,60.101,60.807,61.481,62.099,62.675,63.266,63.84,64.432,65.028,65.592,65.986,66.473,66.867,67.293,67.589,67.883,68.293,68.578,68.909,69.313,69.75,70.117,70.654
N V λ1239,0.002,0.213,0.292,0.279,0.25,0.219,0.193,0.169,0.151,0.136,0.12,0.108,0.097,0.087,0.079,0.072,0.066,0.061,0.056,0.053,0.049,0.047,0.044,0.042,0.039,0.037,0.035,0.034,0.032,0.03,0.029,0.027,0.026,0.025,0.024,0.023,0.022
SiIV + O IV λ1400,0.852,2.265,2.239,1.844,1.551,1.309,1.128,0.988,0.877,0.783,0.702,0.631,0.567,0.511,0.464,0.423,0.39,0.361,0.337,0.316,0.297,0.281,0.266,0.253,0.241,0.229,0.219,0.208,0.199,0.19,0.182,0.174,0.167,0.16,0.154,0.148,0.142
N IV λ1486,0.011,0.076,0.046,0.038,0.032,0.026,0.023,0.02,0.018,0.016,0.014,0.013,0.011,0.01,0.009,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003
C IV λλ1548+1551,2.334,4.45,3.305,2.801,2.402,2.049,1.78,1.557,1.375,1.225,1.092,0.979,0.879,0.793,0.72,0.658,0.606,0.562,0.524,0.492,0.463,0.437,0.414,0.393,0.373,0.355,0.338,0.322,0.307,0.292,0.279,0.266,0.254,0.243,0.233,0.224,0.215
He II λ1640,0.546,0.637,0.541,0.568,0.687,0.83,1.007,1.202,1.403,1.594,1.753,1.865,1.923,1.933,1.914,1.884,1.849,1.818,1.793,1.772,1.753,1.736,1.718,1.7,1.683,1.665,1.647,1.629,1.612,1.596,1.582,1.57,1.56,1.552,1.546,1.541,1.537
O III] λλ1661+1666,0.568,0.965,0.768,0.63,0.534,0.455,0.396,0.349,0.31,0.277,0.247,0.222,0.2,0.182,0.167,0.155,0.144,0.136,0.128,0.122,0.116,0.111,0.107,0.102,0.098,0.095,0.091,0.088,0.084,0.081,0.078,0.075,0.073,0.07,0.068,0.066,0.064
N III λ1750,0.04,0.058,0.041,0.034,0.029,0.024,0.021,0.018,0.016,0.015,0.013,0.012,0.011,0.01,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004
C III] λ1909,2.595,2.03,1.589,1.321,1.153,1.02,0.93,0.869,0.827,0.798,0.779,0.767,0.76,0.757,0.756,0.756,0.757,0.757,0.756,0.755,0.752,0.749,0.744,0.737,0.731,0.723,0.715,0.706,0.697,0.688,0.679,0.672,0.665,0.659,0.653,0.649,0.645
C II] λ2326,0.399,0.313,0.284,0.274,0.28,0.284,0.288,0.288,0.288,0.285,0.28,0.275,0.269,0.264,0.261,0.258,0.258,0.259,0.261,0.263,0.265,0.268,0.272,0.275,0.277,0.28,0.282,0.284,0.286,0.287,0.289,0.29,0.291,0.293,0.295,0.296,0.298
Mg II λ2800,0.114,0.28,0.417,0.522,0.604,0.607,0.578,0.543,0.514,0.495,0.488,0.487,0.489,0.49,0.491,0.491,0.492,0.493,0.492,0.492,0.492,0.492,0.493,0.495,0.495,0.497,0.499,0.501,0.503,0.504,0.507,0.51,0.514,0.518,0.524,0.528,0.535
Ne V λ3426,0.0,0.023,0.096,0.176,0.168,0.142,0.122,0.106,0.094,0.083,0.074,0.066,0.059,0.053,0.048,0.044,0.041,0.038,0.035,0.033,0.031,0.03,0.028,0.027,0.026,0.024,0.023,0.022,0.021,0.02,0.02,0.019,0.018,0.017,0.017,0.016,0.015
Ne III λ3869,0.166,0.241,0.206,0.203,0.242,0.283,0.319,0.35,0.376,0.396,0.412,0.424,0.433,0.44,0.446,0.45,0.453,0.456,0.459,0.461,0.463,0.464,0.465,0.465,0.465,0.464,0.463,0.462,0.46,0.459,0.458,0.457,0.457,0.457,0.457,0.457,0.458
[O II] λλ3727+3729,0.166,0.241,0.206,0.203,0.242,0.283,0.319,0.35,0.376,0.396,0.412,0.424,0.433,0.44,0.446,0.45,0.453,0.456,0.459,0.461,0.463,0.464,0.465,0.465,0.465,0.464,0.463,0.462,0.46,0.459,0.458,0.457,0.457,0.457,0.457,0.457,0.458
[S II] λλ4069+4076,0.035,0.05,0.061,0.071,0.082,0.086,0.089,0.09,0.088,0.086,0.082,0.078,0.075,0.071,0.068,0.065,0.063,0.061,0.059,0.058,0.057,0.056,0.055,0.054,0.053,0.053,0.052,0.052,0.051,0.051,0.051,0.05,0.05,0.05,0.05,0.05,0.05
[O III] λ4363,0.088,0.145,0.116,0.095,0.081,0.07,0.061,0.054,0.049,0.044,0.04,0.036,0.033,0.031,0.029,0.028,0.026,0.025,0.025,0.024,0.023,0.023,0.022,0.022,0.021,0.021,0.02,0.02,0.02,0.019,0.019,0.018,0.018,0.018,0.017,0.017,0.017
He II λ4686,0.053,0.07,0.06,0.066,0.086,0.109,0.137,0.168,0.199,0.229,0.253,0.27,0.279,0.281,0.278,0.274,0.269,0.264,0.261,0.258,0.255,0.252,0.25,0.248,0.245,0.243,0.24,0.238,0.235,0.233,0.231,0.229,0.228,0.227,0.226,0.225,0.225
