Emission lines,100,125,150,175,200,225,250,275,300,325,350,375,400,425,450,475,500,525,550,575,600,625,650,675,700,725,750,775,800,825,850,875,900,925,950,975,1000
C III λ977,29.047,15.817,5.669,5.515,4.801,4.01,3.548,3.203,2.908,2.654,2.427,2.228,2.055,1.91,1.789,1.686,1.6,1.528,1.466,1.415,1.371,1.334,1.302,1.274,1.249,1.226,1.204,1.184,1.164,1.143,1.123,1.102,1.08,1.058,1.035,1.012,0.989
N III λ990,1.607,2.087,0.885,0.602,0.54,0.455,0.406,0.369,0.335,0.306,0.28,0.257,0.237,0.22,0.206,0.194,0.184,0.176,0.168,0.162,0.157,0.153,0.149,0.145,0.142,0.139,0.136,0.134,0.131,0.129,0.126,0.123,0.121,0.118,0.115,0.112,0.109
"O VI λλ1032, 1037",0.0,0.227,6.931,37.483,39.854,35.118,32.69,30.471,28.434,26.698,24.868,23.3,21.764,20.513,19.355,18.287,17.37,16.583,15.904,15.304,14.787,14.348,13.969,13.632,13.33,13.05,12.786,12.536,12.292,12.056,11.819,11.58,11.339,11.094,10.847,10.601,10.354
Lyα λ1215,61.834,35.724,27.605,27.125,26.7,26.278,26.07,25.903,25.768,25.665,25.594,25.565,25.579,25.629,25.7,25.781,25.867,25.954,26.041,26.125,26.206,26.285,26.36,26.433,26.502,26.568,26.631,26.692,26.75,26.807,26.861,26.914,26.965,27.016,27.067,27.118,27.169
N V λ1239,0.064,1.352,2.819,1.604,1.57,1.352,1.244,1.154,1.074,0.99,0.913,0.836,0.77,0.712,0.663,0.623,0.589,0.56,0.536,0.515,0.499,0.484,0.471,0.46,0.45,0.441,0.433,0.425,0.418,0.41,0.403,0.395,0.388,0.38,0.372,0.364,0.356
SiIV + O IV λ1400,2.782,4.258,3.273,2.679,2.185,1.843,1.659,1.516,1.393,1.285,1.185,1.093,1.011,0.94,0.879,0.828,0.785,0.749,0.718,0.692,0.67,0.652,0.636,0.621,0.609,0.597,0.586,0.576,0.566,0.556,0.546,0.536,0.525,0.515,0.504,0.493,0.482
N IV λ1486,0.267,0.568,0.279,0.156,0.145,0.122,0.11,0.1,0.092,0.084,0.078,0.072,0.066,0.062,0.058,0.054,0.051,0.049,0.047,0.045,0.044,0.043,0.042,0.041,0.04,0.039,0.038,0.038,0.037,0.036,0.036,0.035,0.034,0.034,0.033,0.032,0.032
C IV λλ1548+1551,14.387,18.055,5.0,4.413,3.983,3.369,3.013,2.728,2.472,2.249,2.049,1.879,1.728,1.602,1.495,1.406,1.33,1.267,1.213,1.169,1.131,1.099,1.071,1.046,1.025,1.005,0.987,0.97,0.953,0.936,0.919,0.902,0.884,0.866,0.847,0.828,0.809
He II λ1640,0.699,0.95,0.475,0.399,0.364,0.344,0.374,0.439,0.528,0.633,0.735,0.818,0.866,0.882,0.88,0.868,0.854,0.841,0.829,0.818,0.808,0.799,0.791,0.783,0.777,0.772,0.768,0.765,0.765,0.765,0.768,0.772,0.779,0.787,0.797,0.808,0.82
