Emission lines,100,125,150,175,200,225,250,275,300,325,350,375,400,425,450,475,500,525,550,575,600,625,650,675,700,725,750,775,800,825,850,875,900,925,950,975,1000
C III λ977,1.775,13.903,4.415,3.562,3.615,2.882,2.484,2.181,1.922,1.707,1.525,1.367,1.23,1.113,1.014,0.929,0.856,0.795,0.743,0.698,0.658,0.624,0.593,0.566,0.541,0.518,0.497,0.478,0.46,0.443,0.428,0.413,0.4,0.387,0.376,0.365,0.354
N III λ990,0.024,0.879,1.083,0.398,0.417,0.332,0.29,0.257,0.226,0.2,0.176,0.156,0.139,0.124,0.113,0.103,0.094,0.087,0.081,0.076,0.071,0.067,0.064,0.061,0.058,0.055,0.053,0.05,0.048,0.046,0.044,0.042,0.04,0.039,0.037,0.036,0.034
"O VI λλ1032, 1037",0.0,0.006,1.519,21.695,43.765,35.385,32.537,29.68,26.966,24.678,22.554,20.654,18.793,17.15,15.743,14.416,13.226,12.215,11.34,10.577,9.89,9.284,8.748,8.264,7.827,7.425,7.052,6.71,6.392,6.096,5.818,5.562,5.322,5.098,4.887,4.69,4.505
Lyα λ1215,74.0,44.876,25.217,22.505,22.379,21.98,22.027,22.404,22.955,23.634,24.322,24.912,25.36,25.685,25.933,26.143,26.375,26.662,27.009,27.438,27.96,28.509,29.168,29.998,30.714,31.459,32.435,33.193,34.329,35.369,36.422,37.362,38.422,39.475,40.509,41.702,42.613
N V λ1239,0.0,0.192,2.305,1.941,1.63,1.321,1.194,1.089,0.986,0.896,0.804,0.718,0.641,0.576,0.518,0.469,0.429,0.395,0.365,0.34,0.318,0.299,0.283,0.267,0.254,0.241,0.23,0.22,0.21,0.201,0.193,0.186,0.179,0.172,0.166,0.16,0.155
SiIV + O IV λ1400,0.017,2.071,3.106,2.668,2.043,1.645,1.482,1.366,1.264,1.179,1.097,1.015,0.932,0.853,0.784,0.722,0.669,0.624,0.586,0.553,0.524,0.498,0.476,0.455,0.436,0.419,0.403,0.388,0.375,0.363,0.351,0.341,0.332,0.323,0.315,0.308,0.302
N IV λ1486,0.0,0.222,0.381,0.125,0.13,0.105,0.094,0.086,0.08,0.075,0.07,0.065,0.061,0.056,0.052,0.048,0.045,0.042,0.04,0.038,0.036,0.034,0.033,0.032,0.03,0.029,0.029,0.028,0.027,0.026,0.026,0.025,0.025,0.025,0.024,0.024,0.024
C IV λλ1548+1551,0.004,12.224,6.838,3.798,3.822,3.079,2.716,2.412,2.15,1.931,1.75,1.59,1.446,1.319,1.209,1.114,1.033,0.964,0.905,0.854,0.81,0.771,0.737,0.707,0.679,0.655,0.633,0.614,0.597,0.582,0.569,0.559,0.551,0.545,0.541,0.54,0.541
He II λ1640,0.001,0.785,0.702,0.584,0.714,0.911,1.252,1.642,2.031,2.398,2.685,2.861,2.908,2.86,2.766,2.66,2.562,2.477,2.404,2.341,2.285,2.235,2.19,2.15,2.115,2.086,2.062,2.045,2.034,2.029,2.029,2.036,2.048,2.064,2.084,2.105,2.127
O III] λλ1661+1666,0.037,1.536,1.859,1.497,1.109,0.894,0.796,0.711,0.628,0.557,0.498,0.449,0.412,0.385,0.364,0.347,0.333,0.322,0.311,0.303,0.295,0.289,0.283,0.278,0.274,0.27,0.267,0.265,0.264,0.263,0.263,0.263,0.265,0.267,0.27,0.273,0.277
N III λ1750,0.013,0.332,0.353,0.151,0.155,0.128,0.115,0.105,0.096,0.089,0.083,0.078,0.074,0.071,0.07,0.068,0.067,0.066,0.066,0.065,0.065,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.065,0.066,0.066,0.067,0.069,0.07,0.072,0.073,0.075
C III] λ1909,1.402,4.49,1.772,1.497,1.537,1.362,1.306,1.336,1.402,1.497,1.607,1.714,1.81,1.892,1.958,2.006,2.042,2.072,2.1,2.125,2.149,2.172,2.197,2.224,2.251,2.282,2.318,2.357,2.404,2.456,2.513,2.576,2.645,2.719,2.796,2.876,2.954
C II] λ2326,0.85,0.883,0.416,0.359,0.319,0.277,0.307,0.363,0.412,0.449,0.471,0.479,0.479,0.478,0.481,0.489,0.501,0.519,0.54,0.566,0.597,0.628,0.663,0.705,0.742,0.78,0.825,0.862,0.909,0.952,0.995,1.032,1.07,1.107,1.14,1.176,1.203
Mg II λ2800,0.092,0.09,0.099,0.133,0.192,0.268,0.329,0.383,0.412,0.435,0.463,0.496,0.532,0.568,0.599,0.624,0.643,0.659,0.672,0.685,0.699,0.713,0.731,0.753,0.774,0.798,0.828,0.854,0.886,0.917,0.95,0.979,1.008,1.036,1.061,1.088,1.109
Ne V λ3426,0.0,0.007,0.081,0.154,0.293,0.239,0.205,0.182,0.161,0.144,0.13,0.117,0.106,0.096,0.088,0.081,0.075,0.07,0.067,0.063,0.06,0.058,0.056,0.055,0.053,0.052,0.051,0.05,0.05,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049
Ne III λ3869,0.005,0.526,0.519,0.464,0.512,0.589,0.748,0.938,1.11,1.263,1.393,1.499,1.585,1.653,1.706,1.746,1.778,1.806,1.831,1.855,1.878,1.901,1.924,1.951,1.974,2.0,2.03,2.059,2.094,2.13,2.167,2.204,2.243,2.283,2.321,2.361,2.395
[O II] λλ3727+3729,0.005,0.526,0.519,0.464,0.512,0.589,0.748,0.938,1.11,1.263,1.393,1.499,1.585,1.653,1.706,1.746,1.778,1.806,1.831,1.855,1.878,1.901,1.924,1.951,1.974,2.0,2.03,2.059,2.094,2.13,2.167,2.204,2.243,2.283,2.321,2.361,2.395
[S II] λλ4069+4076,0.038,0.042,0.043,0.044,0.049,0.053,0.067,0.08,0.087,0.089,0.089,0.086,0.083,0.08,0.077,0.075,0.073,0.071,0.07,0.069,0.069,0.07,0.07,0.072,0.073,0.075,0.077,0.08,0.082,0.085,0.088,0.09,0.093,0.095,0.097,0.099,0.1
