Emission lines,100,125,150,175,200,225,250,275,300,325,350,375,400,425,450,475,500,525,550,575,600,625,650,675,700,725,750,775,800,825,850,875,900,925,950,975,1000
C III λ977,16.819,11.157,3.876,3.681,3.358,2.705,2.312,2.044,1.845,1.647,1.473,1.322,1.192,1.082,0.987,0.907,0.837,0.778,0.726,0.681,0.642,0.606,0.574,0.546,0.519,0.495,0.473,0.452,0.433,0.416,0.4,0.385,0.37,0.358,0.345,0.334,0.323
N III λ990,0.849,1.133,0.743,0.373,0.356,0.284,0.243,0.213,0.19,0.167,0.147,0.129,0.115,0.103,0.092,0.084,0.076,0.07,0.065,0.06,0.056,0.052,0.049,0.046,0.044,0.041,0.039,0.037,0.035,0.033,0.031,0.03,0.028,0.027,0.026,0.025,0.024
"O VI λλ1032, 1037",0.0,0.099,4.39,32.265,39.999,34.17,31.166,28.7,26.852,24.765,22.612,20.764,18.923,17.356,15.946,14.621,13.455,12.444,11.554,10.753,10.04,9.409,8.844,8.334,7.868,7.438,7.043,6.678,6.342,6.031,5.744,5.478,5.231,5.003,4.789,4.591,4.404
Lyα λ1215,55.782,36.991,27.605,27.269,27.139,26.928,27.14,27.772,28.732,29.737,30.694,31.514,32.14,32.592,32.906,33.128,33.316,33.506,33.714,33.95,34.236,34.603,34.961,35.381,35.932,36.399,36.939,37.543,38.193,38.925,39.592,40.351,41.169,41.849,42.661,43.431,44.32
N V λ1239,0.009,0.753,2.696,1.484,1.51,1.262,1.132,1.039,0.965,0.879,0.794,0.709,0.637,0.573,0.517,0.471,0.431,0.397,0.367,0.342,0.319,0.3,0.282,0.266,0.251,0.238,0.226,0.215,0.205,0.195,0.187,0.179,0.171,0.164,0.158,0.152,0.146
SiIV + O IV λ1400,1.394,2.689,2.92,2.396,1.915,1.569,1.384,1.261,1.174,1.08,0.991,0.907,0.826,0.754,0.69,0.635,0.587,0.546,0.51,0.479,0.452,0.427,0.405,0.385,0.367,0.35,0.334,0.32,0.307,0.295,0.284,0.274,0.265,0.256,0.248,0.241,0.234
N IV λ1486,0.122,0.349,0.29,0.12,0.122,0.099,0.087,0.079,0.074,0.068,0.062,0.057,0.052,0.048,0.044,0.04,0.038,0.035,0.033,0.031,0.029,0.028,0.026,0.025,0.024,0.023,0.022,0.021,0.02,0.019,0.019,0.018,0.018,0.017,0.017,0.016,0.016
C IV λλ1548+1551,5.817,13.609,4.687,3.663,3.489,2.87,2.507,2.242,2.035,1.823,1.638,1.477,1.334,1.21,1.104,1.014,0.935,0.868,0.81,0.759,0.714,0.674,0.639,0.607,0.577,0.551,0.526,0.504,0.483,0.465,0.448,0.432,0.418,0.405,0.394,0.383,0.374
He II λ1640,0.274,0.815,0.545,0.497,0.644,0.816,1.104,1.44,1.803,2.122,2.372,2.527,2.572,2.54,2.468,2.386,2.308,2.238,2.174,2.116,2.063,2.014,1.967,1.925,1.887,1.852,1.824,1.8,1.782,1.77,1.763,1.762,1.766,1.776,1.787,1.802,1.817
O III] λλ1661+1666,1.622,1.88,1.644,1.266,1.016,0.836,0.737,0.664,0.605,0.544,0.49,0.444,0.406,0.377,0.353,0.333,0.315,0.301,0.288,0.276,0.266,0.256,0.248,0.24,0.233,0.226,0.22,0.215,0.21,0.206,0.202,0.199,0.197,0.195,0.194,0.193,0.193
N III λ1750,0.34,0.4,0.263,0.15,0.145,0.12,0.106,0.097,0.091,0.083,0.077,0.072,0.068,0.065,0.062,0.061,0.059,0.058,0.057,0.056,0.055,0.054,0.054,0.053,0.052,0.051,0.051,0.051,0.05,0.05,0.05,0.05,0.05,0.051,0.051,0.052,0.053
C III] λ1909,5.336,3.375,1.547,1.439,1.374,1.2,1.134,1.153,1.223,1.303,1.397,1.497,1.59,1.672,1.739,1.788,1.826,1.853,1.873,1.886,1.895,1.901,1.903,1.906,1.909,1.912,1.917,1.926,1.939,1.957,1.979,2.007,2.039,2.074,2.113,2.155,2.198
C II] λ2326,0.841,0.489,0.297,0.275,0.258,0.254,0.301,0.364,0.426,0.471,0.499,0.512,0.514,0.512,0.509,0.507,0.509,0.513,0.52,0.529,0.542,0.557,0.572,0.59,0.611,0.629,0.649,0.671,0.693,0.717,0.738,0.761,0.785,0.804,0.826,0.846,0.869
