Emission lines,100,125,150,175,200,225,250,275,300,325,350,375,400,425,450,475,500,525,550,575,600,625,650,675,700,725,750,775,800,825,850,900,925,950,975,1000
C III λ977,0.049,14.596,5.874,3.496,3.76,3.022,2.581,2.244,1.97,1.745,1.554,1.388,1.246,1.122,1.017,0.928,0.852,0.789,0.735,0.69,0.651,0.617,0.587,0.56,0.537,0.515,0.495,0.477,0.46,0.445,0.431,0.407,0.396,0.386,0.377,0.369
N III λ990,0.001,0.775,1.119,0.463,0.409,0.326,0.28,0.245,0.213,0.186,0.162,0.142,0.124,0.11,0.098,0.089,0.081,0.074,0.068,0.063,0.059,0.056,0.052,0.049,0.047,0.044,0.042,0.04,0.038,0.036,0.035,0.032,0.03,0.029,0.028,0.027
"O VI λλ1032, 1037",0.0,0.0,0.606,13.861,44.672,35.959,32.815,29.753,26.927,24.57,22.512,20.545,18.703,16.981,15.503,14.161,12.942,11.906,11.026,10.265,9.586,8.982,8.452,7.979,7.552,7.163,6.796,6.458,6.141,5.849,5.578,5.093,4.874,4.669,4.475,4.294
Lyα λ1215,79.226,52.988,32.957,26.717,26.604,26.227,26.266,26.678,27.274,27.992,28.725,29.355,29.87,30.254,30.58,30.902,31.261,31.696,32.213,32.844,33.492,34.313,35.25,36.132,37.128,38.226,39.268,40.509,41.605,42.794,44.039,46.414,47.66,48.86,50.149,51.38
N V λ1239,0.0,0.048,1.643,2.452,1.643,1.358,1.213,1.099,0.998,0.905,0.809,0.722,0.643,0.575,0.515,0.463,0.422,0.387,0.357,0.332,0.31,0.291,0.274,0.259,0.246,0.234,0.223,0.213,0.203,0.195,0.187,0.173,0.167,0.161,0.156,0.15
SiIV + O IV λ1400,0.0,1.762,2.989,2.741,2.123,1.705,1.528,1.41,1.31,1.228,1.148,1.064,0.979,0.895,0.819,0.753,0.696,0.649,0.608,0.574,0.544,0.518,0.495,0.474,0.455,0.439,0.423,0.409,0.396,0.384,0.373,0.356,0.348,0.342,0.337,0.333
N IV λ1486,0.0,0.17,0.385,0.167,0.134,0.109,0.097,0.089,0.083,0.078,0.074,0.07,0.065,0.06,0.055,0.051,0.048,0.045,0.043,0.041,0.039,0.037,0.036,0.035,0.034,0.033,0.032,0.031,0.03,0.03,0.03,0.029,0.029,0.029,0.03,0.03
C IV λλ1548+1551,0.0,9.182,9.422,3.954,3.952,3.213,2.808,2.486,2.207,1.986,1.807,1.644,1.503,1.372,1.258,1.161,1.079,1.009,0.95,0.901,0.858,0.821,0.789,0.761,0.737,0.716,0.698,0.682,0.67,0.66,0.654,0.652,0.656,0.663,0.674,0.689
He II λ1640,0.0,0.504,0.789,0.613,0.702,0.906,1.233,1.631,2.028,2.408,2.707,2.89,2.94,2.882,2.774,2.654,2.544,2.449,2.37,2.302,2.242,2.189,2.143,2.104,2.07,2.042,2.018,2.0,1.989,1.983,1.984,2.001,2.017,2.035,2.054,2.073
O III] λλ1661+1666,0.0,1.477,1.898,1.589,1.166,0.936,0.826,0.733,0.645,0.571,0.51,0.462,0.428,0.403,0.385,0.371,0.36,0.351,0.344,0.339,0.334,0.33,0.327,0.325,0.323,0.323,0.322,0.322,0.323,0.325,0.328,0.336,0.341,0.347,0.353,0.36
N III λ1750,0.0,0.312,0.385,0.18,0.163,0.136,0.123,0.113,0.104,0.097,0.091,0.086,0.083,0.082,0.081,0.08,0.08,0.08,0.08,0.08,0.081,0.081,0.081,0.082,0.083,0.083,0.084,0.085,0.087,0.088,0.09,0.094,0.097,0.099,0.102,0.105
C III] λ1909,0.068,4.745,2.142,1.519,1.611,1.486,1.438,1.485,1.582,1.705,1.842,1.972,2.093,2.192,2.272,2.337,2.389,2.436,2.48,2.523,2.563,2.603,2.646,2.689,2.735,2.785,2.836,2.894,2.956,3.025,3.1,3.269,3.361,3.457,3.554,3.651
C II] λ2326,0.095,0.789,0.38,0.309,0.286,0.243,0.259,0.299,0.332,0.358,0.373,0.379,0.383,0.386,0.393,0.405,0.42,0.44,0.464,0.492,0.52,0.554,0.59,0.626,0.665,0.705,0.743,0.784,0.821,0.86,0.898,0.964,0.996,1.023,1.051,1.078
Mg II λ2800,0.142,0.099,0.128,0.181,0.232,0.319,0.368,0.413,0.436,0.453,0.478,0.512,0.553,0.595,0.633,0.665,0.691,0.714,0.737,0.76,0.785,0.814,0.846,0.881,0.92,0.961,1.003,1.048,1.091,1.136,1.181,1.258,1.293,1.322,1.352,1.379
Ne V λ3426,0.0,0.001,0.058,0.14,0.276,0.248,0.21,0.185,0.164,0.147,0.132,0.119,0.107,0.097,0.089,0.082,0.076,0.071,0.068,0.064,0.062,0.06,0.058,0.057,0.056,0.055,0.054,0.054,0.054,0.054,0.054,0.055,0.055,0.056,0.057,0.058
Ne III λ3869,0.0,0.539,0.547,0.491,0.551,0.656,0.819,1.015,1.191,1.349,1.484,1.596,1.693,1.769,1.828,1.873,1.91,1.943,1.973,2.002,2.029,2.057,2.086,2.114,2.144,2.176,2.208,2.243,2.278,2.316,2.355,2.435,2.475,2.513,2.549,2.584
[O II] λλ3727+3729,0.0,0.539,0.547,0.491,0.551,0.656,0.819,1.015,1.191,1.349,1.484,1.596,1.693,1.769,1.828,1.873,1.91,1.943,1.973,2.002,2.029,2.057,2.086,2.114,2.144,2.176,2.208,2.243,2.278,2.316,2.355,2.435,2.475,2.513,2.549,2.584
