Emission lines,100,125,150,175,200,225,250,275,300,325,350,375,400,425,450,475,500,525,550,575,600,625,650,675,700,725,750,775,800,825,850,875,900,925,950,975,1000
C III λ977,18.661,10.232,4.433,4.348,3.867,3.151,2.691,2.356,2.09,1.871,1.68,1.512,1.363,1.236,1.128,1.036,0.958,0.891,0.832,0.781,0.736,0.694,0.657,0.622,0.59,0.56,0.531,0.505,0.48,0.457,0.435,0.415,0.396,0.379,0.362,0.347,0.333
N III λ990,0.949,1.262,0.659,0.424,0.382,0.307,0.259,0.224,0.195,0.172,0.151,0.134,0.118,0.106,0.095,0.086,0.079,0.072,0.067,0.062,0.058,0.054,0.051,0.048,0.045,0.042,0.04,0.037,0.035,0.033,0.031,0.03,0.028,0.027,0.025,0.024,0.023
"O VI λλ1032, 1037",0.0,0.162,6.0,33.988,38.001,33.416,30.708,28.3,26.272,24.617,22.87,21.282,19.668,18.271,16.962,15.742,14.67,13.731,12.889,12.12,11.426,10.797,10.221,9.683,9.178,8.702,8.253,7.83,7.434,7.064,6.719,6.396,6.097,5.816,5.556,5.314,5.087
Lyα λ1215,51.123,33.616,28.729,28.481,28.329,28.106,28.196,28.641,29.412,30.446,31.562,32.616,33.516,34.236,34.794,35.226,35.571,35.86,36.108,36.321,36.52,36.71,36.901,37.1,37.313,37.544,37.81,38.113,38.427,38.805,39.182,39.64,40.115,40.621,41.125,41.642,42.171
N V λ1239,0.039,0.953,2.511,1.448,1.478,1.268,1.149,1.053,0.973,0.893,0.819,0.743,0.676,0.615,0.562,0.517,0.479,0.446,0.416,0.391,0.368,0.348,0.329,0.311,0.295,0.28,0.265,0.252,0.239,0.228,0.217,0.207,0.197,0.188,0.18,0.172,0.165
SiIV + O IV λ1400,1.837,2.931,2.853,2.376,1.995,1.669,1.472,1.325,1.206,1.106,1.014,0.927,0.845,0.771,0.708,0.653,0.605,0.564,0.528,0.497,0.469,0.443,0.419,0.397,0.377,0.358,0.34,0.323,0.308,0.293,0.279,0.267,0.255,0.244,0.234,0.224,0.216
N IV λ1486,0.176,0.391,0.245,0.135,0.13,0.108,0.095,0.085,0.077,0.071,0.064,0.059,0.054,0.049,0.045,0.041,0.038,0.036,0.033,0.031,0.03,0.028,0.026,0.025,0.024,0.023,0.021,0.02,0.019,0.018,0.018,0.017,0.016,0.015,0.015,0.014,0.014
C IV λλ1548+1551,9.427,12.417,4.314,3.835,3.59,3.009,2.635,2.342,2.097,1.891,1.706,1.546,1.399,1.272,1.164,1.07,0.99,0.922,0.862,0.809,0.762,0.72,0.681,0.645,0.612,0.581,0.552,0.524,0.499,0.475,0.452,0.431,0.412,0.394,0.377,0.361,0.346
He II λ1640,0.464,0.687,0.446,0.412,0.5,0.607,0.798,1.03,1.285,1.542,1.761,1.911,1.976,1.976,1.943,1.9,1.857,1.818,1.782,1.748,1.716,1.683,1.651,1.62,1.589,1.56,1.534,1.509,1.49,1.474,1.463,1.457,1.455,1.457,1.462,1.47,1.479
O III] λλ1661+1666,1.767,2.085,1.655,1.295,1.092,0.911,0.801,0.715,0.644,0.585,0.532,0.484,0.442,0.406,0.375,0.348,0.325,0.305,0.288,0.272,0.258,0.245,0.233,0.221,0.211,0.201,0.191,0.182,0.174,0.166,0.159,0.152,0.146,0.14,0.135,0.13,0.125
N III λ1750,0.384,0.444,0.246,0.174,0.161,0.134,0.118,0.106,0.096,0.087,0.079,0.073,0.067,0.061,0.057,0.054,0.05,0.048,0.045,0.043,0.042,0.04,0.038,0.037,0.035,0.034,0.033,0.031,0.03,0.029,0.028,0.027,0.027,0.026,0.025,0.025,0.024
C III] λ1909,5.806,3.174,1.684,1.594,1.449,1.223,1.091,1.018,0.983,0.979,0.995,1.023,1.056,1.089,1.119,1.144,1.165,1.181,1.193,1.2,1.204,1.205,1.202,1.197,1.19,1.182,1.174,1.166,1.16,1.156,1.154,1.156,1.16,1.167,1.177,1.189,1.202
C II] λ2326,0.922,0.496,0.32,0.294,0.278,0.27,0.31,0.377,0.449,0.518,0.572,0.61,0.632,0.643,0.646,0.646,0.644,0.643,0.642,0.641,0.643,0.645,0.648,0.653,0.659,0.666,0.674,0.683,0.691,0.702,0.711,0.723,0.734,0.747,0.758,0.77,0.782
Mg II λ2800,0.1,0.092,0.128,0.189,0.315,0.428,0.56,0.681,0.774,0.858,0.941,1.02,1.084,1.129,1.157,1.169,1.17,1.163,1.152,1.136,1.119,1.1,1.08,1.058,1.035,1.012,0.988,0.964,0.939,0.916,0.893,0.874,0.855,0.841,0.828,0.819,0.813
