Emission lines,100,125,150,175,200,225,250,275,300,325,350,375,400,425,450,475,500,525,550,575,600,625,650,675,700,725,750,775,800,825,850,875,900,925,950,975,1000
C III λ977,40.154,14.173,3.311,3.198,3.418,2.687,2.238,1.924,1.692,1.517,1.371,1.239,1.118,1.019,0.935,0.863,0.802,0.752,0.708,0.671,0.639,0.611,0.585,0.561,0.539,0.519,0.499,0.48,0.461,0.443,0.426,0.409,0.393,0.378,0.364,0.35,0.337
N III λ990,2.1,1.35,0.891,0.326,0.387,0.308,0.266,0.236,0.211,0.19,0.171,0.154,0.138,0.126,0.115,0.106,0.098,0.092,0.086,0.082,0.077,0.074,0.07,0.067,0.064,0.062,0.059,0.056,0.054,0.052,0.049,0.047,0.045,0.043,0.041,0.04,0.038
"O VI λλ1032, 1037",0.0,0.174,5.508,37.35,49.484,38.7,35.336,32.45,30.108,28.281,26.436,24.591,22.711,21.089,19.598,18.263,17.049,16.0,15.095,14.287,13.57,12.937,12.357,11.826,11.318,10.842,10.383,9.941,9.52,9.116,8.729,8.362,8.014,7.685,7.375,7.083,6.805
Lyα λ1215,67.842,31.731,25.186,24.968,24.827,24.537,24.418,24.346,24.311,24.321,24.372,24.437,24.512,24.59,24.671,24.744,24.81,24.87,24.926,24.978,25.027,25.075,25.121,25.167,25.215,25.265,25.322,25.387,25.466,25.56,25.675,25.813,25.974,26.158,26.365,26.589,26.823
N V λ1239,0.079,1.208,3.533,1.996,1.884,1.528,1.372,1.254,1.15,1.061,0.968,0.878,0.793,0.723,0.662,0.61,0.566,0.529,0.496,0.469,0.445,0.424,0.405,0.387,0.371,0.356,0.341,0.327,0.314,0.301,0.289,0.277,0.267,0.256,0.246,0.237,0.228
SiIV + O IV λ1400,4.734,3.844,3.341,2.775,2.144,1.738,1.537,1.396,1.28,1.187,1.097,1.007,0.919,0.846,0.78,0.723,0.675,0.633,0.598,0.568,0.541,0.517,0.496,0.476,0.457,0.44,0.423,0.407,0.391,0.376,0.362,0.348,0.336,0.323,0.312,0.301,0.291
N IV λ1486,0.461,0.476,0.35,0.116,0.138,0.111,0.098,0.088,0.08,0.074,0.068,0.063,0.057,0.053,0.048,0.045,0.042,0.039,0.037,0.035,0.034,0.032,0.031,0.03,0.028,0.027,0.026,0.025,0.024,0.024,0.023,0.022,0.021,0.02,0.02,0.019,0.018
C IV λλ1548+1551,23.861,21.186,6.224,4.242,4.482,3.606,3.077,2.659,2.343,2.102,1.907,1.729,1.562,1.424,1.305,1.204,1.118,1.047,0.985,0.932,0.887,0.847,0.811,0.778,0.747,0.718,0.69,0.664,0.638,0.614,0.59,0.568,0.546,0.526,0.506,0.488,0.47
He II λ1640,0.616,0.826,0.502,0.43,0.505,0.623,0.857,1.142,1.45,1.765,2.029,2.207,2.284,2.287,2.253,2.205,2.156,2.116,2.081,2.049,2.022,1.996,1.971,1.948,1.925,1.906,1.888,1.873,1.863,1.857,1.856,1.86,1.871,1.887,1.906,1.928,1.952
O III] λλ1661+1666,3.872,2.222,1.839,1.495,1.098,0.887,0.781,0.704,0.638,0.583,0.532,0.484,0.441,0.407,0.377,0.352,0.33,0.311,0.295,0.28,0.268,0.257,0.247,0.237,0.228,0.22,0.212,0.204,0.196,0.188,0.181,0.174,0.167,0.161,0.155,0.15,0.144
N III λ1750,0.801,0.481,0.31,0.133,0.148,0.12,0.105,0.095,0.086,0.079,0.072,0.066,0.06,0.056,0.052,0.049,0.046,0.043,0.042,0.04,0.038,0.037,0.036,0.035,0.033,0.033,0.032,0.031,0.03,0.029,0.028,0.027,0.027,0.026,0.025,0.025,0.025
C III] λ1909,12.443,4.351,1.447,1.381,1.409,1.146,0.985,0.874,0.799,0.753,0.727,0.713,0.707,0.708,0.712,0.715,0.719,0.722,0.725,0.729,0.732,0.735,0.739,0.742,0.746,0.75,0.756,0.763,0.773,0.786,0.801,0.821,0.844,0.871,0.902,0.935,0.97
C II] λ2326,1.884,0.625,0.25,0.228,0.205,0.156,0.135,0.131,0.143,0.167,0.196,0.223,0.243,0.257,0.266,0.271,0.274,0.276,0.277,0.279,0.281,0.284,0.288,0.293,0.3,0.308,0.319,0.333,0.349,0.367,0.388,0.411,0.435,0.46,0.487,0.512,0.537
Mg II λ2800,0.155,0.067,0.04,0.036,0.04,0.047,0.07,0.117,0.174,0.24,0.312,0.384,0.449,0.501,0.542,0.57,0.588,0.6,0.606,0.609,0.608,0.605,0.601,0.596,0.59,0.583,0.576,0.568,0.56,0.553,0.545,0.538,0.532,0.527,0.523,0.52,0.518
Ne V λ3426,0.001,0.05,0.146,0.199,0.344,0.272,0.233,0.209,0.19,0.175,0.16,0.147,0.133,0.123,0.114,0.106,0.099,0.093,0.088,0.084,0.08,0.077,0.074,0.071,0.069,0.067,0.065,0.062,0.061,0.059,0.057,0.055,0.053,0.052,0.05,0.049,0.047
