Emission lines,100,125,150,175,200,225,250,275,300,325,350,375,400,425,450,475,500,525,550,575,600,625,650,675,700,725,750,775,800,825,850,875,900,925,950,975,1000
C III λ977,36.639,14.119,3.218,2.962,3.26,2.551,2.126,1.839,1.637,1.463,1.315,1.184,1.068,0.972,0.89,0.822,0.763,0.714,0.672,0.636,0.604,0.576,0.551,0.527,0.505,0.484,0.465,0.446,0.429,0.412,0.396,0.381,0.367,0.353,0.34,0.328,0.316
N III λ990,1.902,1.258,0.907,0.306,0.368,0.291,0.252,0.226,0.204,0.184,0.164,0.147,0.132,0.12,0.11,0.101,0.094,0.088,0.082,0.078,0.073,0.07,0.067,0.063,0.061,0.058,0.055,0.053,0.051,0.048,0.046,0.044,0.043,0.041,0.039,0.037,0.036
"O VI λλ1032, 1037",0.0,0.145,4.841,36.655,51.135,39.143,35.611,32.773,30.697,28.55,26.4,24.358,22.467,20.702,19.094,17.735,16.48,15.389,14.455,13.616,12.869,12.205,11.598,11.041,10.513,10.02,9.554,9.12,8.71,8.325,7.963,7.624,7.306,7.008,6.73,6.469,6.223
Lyα λ1215,68.899,33.3,24.775,24.54,24.415,24.111,24.0,23.944,23.936,23.963,24.023,24.103,24.185,24.268,24.342,24.403,24.457,24.506,24.551,24.593,24.633,24.673,24.713,24.757,24.806,24.864,24.937,25.028,25.14,25.276,25.439,25.631,25.851,26.096,26.36,26.647,26.941
N V λ1239,0.041,1.109,3.568,2.125,1.908,1.529,1.368,1.253,1.162,1.062,0.958,0.862,0.775,0.703,0.641,0.588,0.543,0.505,0.473,0.445,0.42,0.399,0.379,0.361,0.344,0.329,0.314,0.3,0.288,0.276,0.264,0.254,0.244,0.235,0.226,0.218,0.211
SiIV + O IV λ1400,3.91,3.762,3.401,2.785,2.11,1.695,1.499,1.373,1.279,1.184,1.09,1.0,0.915,0.839,0.772,0.716,0.668,0.626,0.591,0.56,0.532,0.508,0.486,0.465,0.446,0.427,0.41,0.394,0.379,0.365,0.351,0.338,0.327,0.316,0.305,0.295,0.286
N IV λ1486,0.376,0.46,0.368,0.115,0.135,0.108,0.095,0.086,0.08,0.074,0.068,0.062,0.057,0.052,0.048,0.045,0.042,0.039,0.037,0.035,0.033,0.032,0.031,0.029,0.028,0.027,0.026,0.025,0.024,0.023,0.022,0.022,0.021,0.02,0.02,0.019,0.019
C IV λλ1548+1551,18.456,21.378,6.698,4.217,4.471,3.563,3.038,2.636,2.346,2.094,1.886,1.701,1.537,1.398,1.278,1.176,1.091,1.019,0.957,0.903,0.857,0.816,0.778,0.745,0.713,0.683,0.655,0.629,0.604,0.581,0.559,0.538,0.519,0.501,0.484,0.468,0.453
He II λ1640,0.466,0.866,0.543,0.465,0.561,0.706,0.98,1.311,1.672,2.012,2.284,2.46,2.528,2.512,2.459,2.397,2.337,2.284,2.238,2.194,2.156,2.12,2.084,2.05,2.017,1.988,1.963,1.943,1.928,1.919,1.917,1.922,1.934,1.95,1.972,1.996,2.022
O III] λλ1661+1666,3.561,2.091,1.82,1.481,1.063,0.854,0.753,0.683,0.626,0.567,0.512,0.463,0.422,0.387,0.358,0.334,0.313,0.295,0.28,0.266,0.254,0.243,0.234,0.224,0.216,0.207,0.2,0.192,0.185,0.179,0.172,0.166,0.161,0.156,0.151,0.147,0.144
